# bench_date,"2026-07-02_14-47-16"
# problem_dir,"casc/FOF"
# home,
# logs_dir,"bench/logs/casc_requested"
# time_limit_seconds,3
# robust_time_limit,false
# size_limit_gb,
# max_clauses,75000
# mode,"ordered-fallback"
# portfolio,"casc-150"
# casc,
# only_ip,true
# version_vip,"a76d405"

section,problem,expected_status,rating,vip,vip_time_s,vip_profile,vip_axiom_selection,vip_raw_clauses,vip_equality_literals,vip_equality_ratio,vip_avg_term,vip_unit_ratio,vip_negative_ratio
result,"FEQ/LCL458+1.p","Unknown","","Timeout",3.463352,"equality-light","false","82","7","0.048276","3.972414","0.268293","0.420690"
result,"FEQ/LCL467+1.p","Unknown","","Timeout",3.813265,"equality-light","false","72","7","0.051852","4.192593","0.166667","0.451852"
result,"FEQ/LCL479+1.p","Unknown","","Timeout",3.068217,"equality-light","false","72","7","0.051852","4.192593","0.166667","0.451852"
result,"FEQ/LCL518+1.p","Unknown","","Timeout",3.474297,"equality-light","false","72","7","0.051852","4.192593","0.166667","0.451852"
result,"FEQ/LCL524+1.p","Unknown","","Timeout",3.854195,"equality-light","false","140","13","0.049057","3.943396","0.171429","0.441509"
result,"FEQ/LCL537+1.p","Unknown","","Timeout",3.874492,"equality-light","false","141","13","0.048872","3.932331","0.177305","0.439850"
result,"FEQ/LCL547+1.p","Unknown","","Timeout",3.885533,"equality-light","false","147","13","0.047794","3.867647","0.210884","0.430147"
result,"FEQ/LCL550+1.p","Unknown","","Timeout",3.790942,"equality-light","false","135","13","0.050000","4.000000","0.140741","0.450000"
result,"FEQ/LCL552+1.p","Unknown","","Timeout",3.810226,"equality-light","false","135","13","0.050000","4.000000","0.140741","0.450000"
result,"FEQ/LCL559+1.p","Unknown","","Timeout",3.786336,"equality-light","false","135","13","0.050000","4.000000","0.140741","0.450000"
result,"FEQ/LCL561+1.p","Unknown","","Timeout",3.771198,"equality-light","false","135","13","0.050000","4.000000","0.140741","0.450000"
result,"FEQ/LCL888+1.p","Unknown","","Theorem",1.068102,"equality-heavy","false","16","8","0.320000","4.840000","0.562500","0.400000"
result,"FEQ/LCL889+1.p","Unknown","","Theorem",0.005777,"equality-heavy","false","16","6","0.240000","4.840000","0.562500","0.400000"
result,"FEQ/LCL894+1.p","Unknown","","Timeout",3.138735,"equality-heavy","false","16","5","0.172414","4.862069","0.375000","0.413793"
result,"FEQ/LCL895+1.p","Unknown","","Timeout",3.003431,"equality-heavy","false","11","15","1.000000","7.133333","0.727273","0.200000"
result,"FEQ/LCL896+1.p","Unknown","","Timeout",3.052234,"equality-heavy","false","14","6","0.260870","5.695652","0.500000","0.434783"
